Loyalty_Card,Implied_Gender,Residence_Type,Age,Discount_Prg,Celebrated_Valentines,Pregnancy_Test,Birth_Control,Feminine_Hygiene,ThanksGiving_Shopping,Number_Shopping_trips,Folic_Acid,Prenatal_Vitamins,Prenatal_Yoga,Body_Pillow,Ginger_Ale,Nausea_tablets,Stopped_buying_ciggies,Cigarettes,Smoking_Cessation,Stopped_buying_wine,Wine,Maternity_Clothes,PREGNANT
WalG838000,Male,Apartment,23,Yes,Yes,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838002,Female,Home,26,Yes,Yes,Yes,Yes,Yes,Yes,82,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838003,Male,Home,75,Yes,Yes,No,Yes,Yes,Yes,35,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838003,Male,Home,71,Yes,Yes,Yes,Yes,Yes,No,99,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838004,Female,Home,63,Yes,Yes,Yes,Yes,Yes,No,74,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838004,Male,Apartment,62,Yes,Yes,Yes,Yes,Yes,No,93,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838005,Male,PO Box,75,Yes,Yes,Yes,Yes,Yes,No,44,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838007,Male,Home,42,Yes,No,Yes,Yes,Yes,Yes,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838008,Male,Home,41,No,Yes,Yes,Yes,Yes,No,103,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
WalG838009,Male,Apartment,50,Yes,Yes,Yes,Yes,Yes,Yes,46,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838020,Male,Apartment,38,Yes,Yes,Yes,Yes,No,No,56,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838022,Male,Home,44,Yes,No,Yes,Yes,Yes,Yes,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
WalG838023,Unknown,Home,73,Yes,Yes,No,Yes,Yes,Yes,61,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838023,Male,Home,51,Yes,Yes,Yes,Yes,Yes,Yes,78,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No
WalG838024,Female,Home,48,Yes,Yes,Yes,Yes,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838024,Female,Apartment,24,No,No,No,Yes,Yes,No,33,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
WalG838025,Female,Home,25,Yes,Yes,No,Yes,Yes,Yes,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838027,Male,Home,23,No,Yes,Yes,No,Yes,Yes,97,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
WalG838028,Male,PO Box,48,Yes,Yes,Yes,Yes,Yes,No,67,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838029,Male,Apartment,28,Yes,Yes,Yes,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838030,Male,Apartment,69,Yes,No,Yes,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
WalG838030,Male,PO Box,36,Yes,Yes,Yes,Yes,Yes,Yes,98,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838032,Female,Apartment,36,No,No,Yes,Yes,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
WalG838032,Female,Home,68,Yes,No,Yes,Yes,Yes,Yes,103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
WalG838033,Male,Apartment,65,Yes,Yes,Yes,Yes,Yes,Yes,77,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838033,Female,Home,76,Yes,Yes,Yes,Yes,Yes,Yes,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838033,Male,Home,35,Yes,Yes,Yes,Yes,Yes,Yes,81,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
WalG838033,Male,Home,45,Yes,Yes,Yes,Yes,Yes,Yes,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WalG838034,Male,Apartment,52,Yes,Yes,Yes,Yes,Yes,Yes,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838034,Unknown,Home,74,No,Yes,Yes,Yes,Yes,Yes,39,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838034,Female,Home,75,Yes,Yes,Yes,Yes,Yes,Yes,85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838034,Female,Apartment,22,No,Yes,Yes,Yes,Yes,Yes,41,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
WalG838035,Male,Home,41,No,No,Yes,Yes,Yes,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
WalG838035,Male,Home,28,Yes,Yes,No,Yes,Yes,Yes,97,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
WalG838037,Unknown,Apartment,47,Yes,Yes,Yes,Yes,Yes,No,30,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
WalG838037,Female,Apartment,47,Yes,No,Yes,Yes,Yes,No,83,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
WalG838038,Male,Home,38,Yes,No,Yes,Yes,Yes,No,54,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
