YEAR,WEEK,RS_SALES,UNIT_SALES,STORE_NO,CITY,STATE,FORMAT,REGION,SPECIAL,WEEK_MAX_TEMP,WEEK_MIN_TEMP,RAIN_MM,SHORTAGE,POPULATION
2016,1,975557.59,16290,21001,PANAJI,GOA,Large,WEST,NEWYEAR,18.51,15.28,0,11.3,420114
2016,2,607104.57,15075,21001,PANAJI,GOA,Large,WEST,NORMAL,17.23,13.19,10,12.1,422214.57
2016,3,587348.56,14334,21001,PANAJI,GOA,Large,WEST,NORMAL,16.22,13.24,6,12.5,424315.14
2016,4,568805.59,14459,21001,PANAJI,GOA,Large,WEST,NORMAL,16.33,13.87,4,12.8,426415.71
2016,5,596242.03,14400,21001,PANAJI,GOA,Large,WEST,NORMAL,17.65,14.42,0,12.2,428516.28
2016,6,602961.4,14627,21001,PANAJI,GOA,Large,WEST,NORMAL,18.2,14.44,0,12,430616.85
2016,7,793308.91,16998,21001,PANAJI,GOA,Large,WEST,VALENTINES,26.64,21.89,0,10.2,432717.42
2016,8,597517.37,14540,21001,PANAJI,GOA,Large,WEST,NORMAL,17.34,15.43,16,12.1,434817.99
2016,9,634716.09,14802,21001,PANAJI,GOA,Large,WEST,NORMAL,18.5,15.68,0,11.6,436918.56
2016,10,646000.58,15249,21001,PANAJI,GOA,Large,WEST,NORMAL,20.21,15.84,0,11.3,439019.13
2016,11,602055.15,14630,21001,PANAJI,GOA,Large,WEST,NORMAL,16.99,14.24,7,11.9,441119.7
2016,12,603332.51,14834,21001,PANAJI,GOA,Large,WEST,NORMAL,18.21,16.67,0,11.8,443220.27
2016,13,545145.12,13442,21001,PANAJI,GOA,Large,WEST,NORMAL,16.1,12.99,8,12.7,445320.84
2016,14,602104.24,14609,21001,PANAJI,GOA,Large,WEST,NORMAL,17.61,14.16,0,11.9,447421.41
2016,15,623068.81,14933,21001,PANAJI,GOA,Large,WEST,NORMAL,19.01,16.14,0,11.5,449521.98
2016,16,735096.74,16842,21001,PANAJI,GOA,Large,WEST,NORMAL,24.12,23.21,0,9.5,451622.55
2016,17,457668.49,12069,21001,PANAJI,GOA,Large,WEST,NORMAL,15.11,14.99,15,13.2,453723.12
2016,18,581053.22,14044,21001,PANAJI,GOA,Large,WEST,NORMAL,25.12,20.87,0,11.3,455823.69
2016,19,630935.28,14971,21001,PANAJI,GOA,Large,WEST,NORMAL,26.33,23.02,0,10.9,457924.26
2016,20,567674.66,14357,21001,PANAJI,GOA,Large,WEST,NORMAL,24.12,21.24,4,11.9,460024.83
2016,21,566053.57,14126,21001,PANAJI,GOA,Large,WEST,NORMAL,21.09,19.66,2,12,462125.4
2016,22,574193.71,14161,21001,PANAJI,GOA,Large,WEST,NORMAL,23.13,19.68,0,11.8,464225.97
2016,23,639358.2,15048,21001,PANAJI,GOA,Large,WEST,NORMAL,27.11,23.01,0,10.9,466326.54
2016,24,623908.97,14889,21001,PANAJI,GOA,Large,WEST,NORMAL,23.27,21.38,4,11.1,468427.11
2016,25,548590.43,13717,21001,PANAJI,GOA,Large,WEST,NORMAL,19.23,17.83,2,12.4,470527.68
2016,26,552885.98,13779,21001,PANAJI,GOA,Large,WEST,NORMAL,21.25,17.8,0,12.3,472628.25
2016,27,598748.97,14507,21001,PANAJI,GOA,Large,WEST,NORMAL,23.32,20.02,0,11.8,474728.82
2016,28,571454.46,14144,21001,PANAJI,GOA,Large,WEST,NORMAL,20.45,19.29,3,12.1,476829.39
2016,29,571936.42,13880,21001,PANAJI,GOA,Large,WEST,NORMAL,22.56,18.32,0,12,478929.96
2016,30,562950.71,13861,21001,PANAJI,GOA,Large,WEST,NORMAL,20.98,17.53,2,12.2,481030.53
2016,31,601561.23,14511,21001,PANAJI,GOA,Large,WEST,NORMAL,23.11,19.36,0,11.7,483131.1
